id,project_name,site_name,country,latitude,longitude,raw_year,year,outbreak,outbreak__color
0.PE4_I-3516,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3517,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3518,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_I-3519,Kislichkina2018a,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4_M0000002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4_Microtus91001,Song2004,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4a_B1313,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4a_I-2751-55,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4a_I-2998,Kutyrev2018,NA,russia,64.6863136,97.7453061,2021,0,Modern,Red
0.PE4Aa_12,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4Ab_9,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4Ba_PestoidesA,Plunkett2009,NA,unknown,0,0,2021,0,Modern,Red
0.PE4Ca_CMCCN010025,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4Cc_CMCC18019,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4Cd_CMCC93014,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4Ce_CMCC91090,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
0.PE4h_A-1249,Kutyrev2018,NA,tajikistan,39,71,2021,0,Modern,Red
0.PE4m_I-3086,Kutyrev2018,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
0.PE4t_A-1815,Eroshenko2017,NA,kyrgyzstan,41.5,75,2021,0,Modern,Red
0.PE5_I-2231,Kislichkina2018b,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
0.PE5_I-2236,Kislichkina2018b,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
0.PE5_I-2238,Kislichkina2018b,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
0.PE5_I-2239,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE5_I-2422a,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE5_I-2422b,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE5_I-2457,Kislichkina2018b,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
0.PE5_I-3189,Kislichkina2015,NA,unknown,0,0,2021,0,Modern,Red
0.PE5_I-3190,Kislichkina2018b,NA,mongolia,46.8250388,103.8499736,2021,0,Modern,Red
0.PE7b_620024,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.ANT1_Antiqua,Chain2016,NA,congo,-0.7264326,15.6419155,2021,0,Modern,Red
1.ANT1_UG05-0454,Morelli2010,NA,uganda,1.5333554,32.2166578,2021,0,Modern,Red
1.IN1a_CMCC11001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN1b_780441,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN1c_K21985002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2a_CMCC640047,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2b_30017,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2c_CMCC31004,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2d_C1975003,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2e_C1989001,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2f_710317,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2g_CMCC05013,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2h_5,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2i_CMCC10012,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
1.IN2j_CMCC27002,Cui2013,NA,china,35.000074,104.999927,2021,0,Modern,Red
